No.    Code    Description
673    0x02A1  A IRQ translator failed to translate resources.
675    0x02A3  {Kernel Debugger Awakened}  the system debugger was awakened by an interrupt.
676    0x02A4  {Handles Closed}  Handles to objects have been automatically closed as a result of the requested operation.
677    0x02A5  {Too Much Information}  The specified access control list (ACL) contained more information than was expected.
678    0x02A6  This warning level status indicates that the transaction state already exists for the registry sub-tree, but that a transaction commit was previously aborted.  The commit has NOT been completed, but has not been rolled back either (so it may still be committed if desired).
679    0x02A7  {Media Changed}  The media may have changed.
680    0x02A8  {GUID Substitution}  During the translation of a global identifier (GUID) to a Windows security ID (SID), no administratively-defined GUID prefix was found.  A substitute prefix was used, which will not compromise system security. However, this may provide a more restrictive access than intended.
681    0x02A9  The create operation stopped after reaching a symbolic link
682    0x02AA  A long jump has been executed.
683    0x02AB  The Plug and Play query operation was not successful.
684    0x02AC  A frame consolidation has been executed.
685    0x02AD  {Registry Hive Recovered}  Registry hive (file):  hs  was corrupted and it has been recovered. Some data might have been lost.
686    0x02AE  The application is attempting to run executable code from the module hs. This may be insecure. An alternative, hs, is available. Should the application use the secure module hs?
687    0x02AF  The application is loading executable code from the module hs. This is secure, but may be incompatible with previous releases of the operating system. An alternative, hs, is available. Should the application use the secure module hs?
688    0x02B0  Debugger did not handle the exception.
689    0x02B1  Debugger will reply later.
690    0x02B2  Debugger cannot provide handle.
691    0x02B3  Debugger terminated thread.
692    0x02B4  Debugger terminated process.
693    0x02B5  Debugger got control C.
694    0x02B6  Debugger printed exception on control C.
695    0x02B7  Debugger received RIP exception.
696    0x02B8  Debugger received control break.
697    0x02B9  Debugger command communication exception.
698    0x02BA  {Object Exists}  An attempt was made to create an object and the object name already existed.
699    0x02BB  {Thread Suspended}  A thread termination occurred while the thread was suspended. The thread was resumed, and termination proceeded.
700    0x02BC  {Image Relocated}  An image file could not be mapped at the address specified in the image file. Local fixups must be performed on this image.
701    0x02BD  This informational level status indicates that a specified registry sub-tree transaction state did not yet exist and had to be created.
